district_id,state,district,lat,lon,population,female_population,literacy_rate,urban_share,census_match_quality,Rape,Kidnapping_&_Abduction,Dowry_Deaths,Assault_on_women_with_intent_to_outrage_her_modesty,Insult_to_modesty_of_Women,Cruelty_by_Husband_or_his_Relatives,Importation_of_Girls,total_2001
116,UTTAR PRADESH,BALRAMPUR,27.44907654,82.47158326,2148665.0,1033944.0,0.40413791819571687,0.0802264499661312,exact,8,19,12,23,11,30,0,103
117,CHHATTISGARH,BILASPUR,22.35694298,81.99770351,2663629.0,1312055.0,0.5993927833042815,0.255045364228537,exact,69,20,7,180,10,94,0,380
118,HIMACHAL PRADESH,BILASPUR,22.35694298,81.99770351,381956.0,189192.0,0.7530186723078051,0.0728936726565113,exact,5,9,1,35,1,47,0,98
119,CHHATTISGARH,BIZAPUR,18.7977,80.8129,255230.0,126567.0,0.3405516592877013,0.1360141117637992,fuzzy,4,0,0,1,0,0,0,5
120,CHHATTISGARH,DANTEWARA,18.65385409,81.0720012,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,19,8,1,18,1,3,0,50
121,CHHATTISGARH,DHAMTARI,20.55491263,81.75691955,799781.0,401884.0,0.6837284206551544,0.19855473890754985,exact,22,4,1,41,5,6,0,79
122,CHHATTISGARH,DURG,21.19446385,81.3318164,3343872.0,1661771.0,0.6888355774383709,0.3959979121116771,exact,144,42,12,287,38,231,0,754
123,CHHATTISGARH,GRP RAIPUR,21.2514,81.6296,4063872.0,2015686.0,0.6471042887177549,0.3696780533458119,fuzzy,0,0,0,4,0,1,0,5
124,CHHATTISGARH,JAGDALPUR,19.0741,82.008,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,59,4,3,49,2,14,0,131
125,CHHATTISGARH,JANJGIR,21.96109375,82.80495409,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,29,6,9,110,13,116,0,283
126,CHHATTISGARH,JASHPUR,22.77286168,83.87039621,851669.0,426922.0,0.5816989933882765,0.09153150287996042,exact,36,2,2,41,1,4,0,86
127,CHHATTISGARH,KANKER,20.13946129,81.06913081,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,42,4,1,36,3,10,0,96
128,CHHATTISGARH,KAWARDHA,22.04800079,81.16271188,1871633.7692307692,929538.7692307692,0.6255787878290948,0.282148889528473,unmatched,35,0,1,45,4,15,0,100
129,CHHATTISGARH,KORBA,22.4917125,82.57604327,1206640.0,593725.0,0.6205322217065571,0.3789384133015485,exact,46,13,1,90,7,31,0,188
130,CHHATTISGARH,KORIYA,23.50412777,82.12515636,658917.0,324180.0,0.6037528247108513,0.32906422927621615,exact,34,7,3,102,2,31,0,179
131,CHHATTISGARH,MAHASAMUND,21.22372704,82.65925427,1032754.0,520787.0,0.6177298756528661,0.11518931502703121,exact,43,7,6,69,6,21,0,152
132,CHHATTISGARH,RAIGARH,22.00826507,83.27797699,1493984.0,743706.0,0.636980717330306,0.15831662374440506,exact,53,6,2,104,5,22,0,192
133,CHHATTISGARH,RAIPUR,20.88603154,82.2003276,4063872.0,2015686.0,0.6471042887177549,0.3696780533458119,exact,104,28,16,253,42,121,0,564
134,CHHATTISGARH,RAJNANDGAON,21.05841473,80.78526694,1537133.0,774278.0,0.6560128498965282,0.19615924866455456,exact,58,3,3,92,12,51,0,219
135,CHHATTISGARH,SARGUJA,23.32719279,83.23582494,2359886.0,1166757.0,0.5033891467638691,0.11030988738292682,fuzzy,145,16,1,223,10,62,0,457
136,GOA,NORTH GOA,15.54872342,73.80667998,818008.0,401331.0,0.8105788696443067,0.6436083657090828,exact,4,1,2,12,2,6,0,27
137,GOA,SOUTH GOA,15.19527866,73.9417926,640537.0,318074.0,0.7843840402662141,0.6476243871598812,exact,8,5,0,5,5,5,0,28
138,GUJARAT,AHMEDABAD COMMR.,23.03386,72.5858,2071212.6666666667,1001838.0555555555,0.6788045103367786,0.412032807948699,unmatched,39,117,7,54,27,530,0,774
